Национальная цель;Показатель;Статистический индикатор;Единица измерения;Тип индикатора;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2035;Нацпроект;Ответственный (ФОИВ);Использовать для агента;Раздел;Декомпозиция по регионам;Периодичность обновления;Ссылка;Год данных;Период;Формат;Примечание;Методика расчета;Тип показателя;
1. Сохранение населения, укрепление здоровья и повышение благополучия людей, поддержка семьи;1.1. Повышение суммарного коэффициента рождаемости до 1.6 к 2030 году и до 1.8 к 2036 году, в том числе ежегодный рост суммарного коэффициента рождаемости третьих и последующих детей;1.1.а. Суммарный коэффициент рождаемости, детей на одну женщину;детей на одну женщину;Основной;1.47;1.416;1.41;1.413;1.443;1.473;1.503;1.533;1.563;1.593;1.8;НП «Семья»;Голикова Т.А.;да;Social;да;ежемесячно;https://fedstat.ru/indicator/62852;2025;2025;Витрина ЕМИСС ;НП Семья ;https://rosstat.gov.ru/storage/mediabank/MET_1.1.1.pdf;Прямой;
1. Сохранение населения, укрепление здоровья и повышение благополучия людей, поддержка семьи;1.1. Повышение суммарного коэффициента рождаемости до 1.6 к 2030 году и до 1.8 к 2036 году, в том числе ежегодный рост суммарного коэффициента рождаемости третьих и последующих детей;1.1.б. Суммарный коэффициент рождаемости третьих и последующих детей, детей на одну женщину;детей на одну женщину;Основной;0.364;0.359;0.372;0.385;0.399;0.414;0.428;0.443;0.459;0.475;0.485;НП «Семья»;Голикова Т.А.;да;Social;да;ежемесячно;https://fedstat.ru/indicator/62853;2025;2025;Витрина ЕМИСС ;;https://rosstat.gov.ru/storage/mediabank/MET_1.1.2.pdf;Прямой;
1. Сохранение населения, укрепление здоровья и повышение благополучия людей, поддержка семьи;1.2. Увеличение ожидаемой продолжительности жизни до 78 лет к 2030 году и до 81 года к 2036 году, в том числе опережающий рост показателей ожидаемой продолжительности здоровой жизни;1.2.а. Ожидаемая продолжительность жизни при рождении, лет;лет;Основной;70.1;72.7;73.4;73.7;74.5;75.2;75.9;76.6;77.3;78;81;НП «Продолжительная и активная жизнь»;Голикова Т.А.;да ;Social;уточняется ;ежемесячно;https://fedstat.ru/indicator/63025;2025;2025;Витрина ЕМИСС ;"Публикация данных приостановлена. Данные не залиты по ссылке. Частота: годовая, месячная   НП ""Продолжительная и активная жизнь"" https://fedstat.ru/indicator/31293 (годовой ряд 1990-2024) ";Методика утверждена первым заместителем Министра здравоохранения Российской Федерации В.С. Фисенко 18.12.2024;Прямой;
1. Сохранение населения, укрепление здоровья и повышение благополучия людей, поддержка семьи;1.2. Увеличение ожидаемой продолжительности жизни до 78 лет к 2030 году и до 81 года к 2036 году, в том числе опережающий рост показателей ожидаемой продолжительности здоровой жизни;1.2.б. Ожидаемая продолжительность жизни при рождении сельского населения, лет;лет;Основной;69.3;71.6;72.1;72.5;73.3;73.9;74.7;75.4;76.2;76.9;80.1;НП «Продолжительная и активная жизнь»;Голикова Т.А.;;;;;;;;;;;;
1. Сохранение населения, укрепление здоровья и повышение благополучия людей, поддержка семьи;1.2. Увеличение ожидаемой продолжительности жизни до 78 лет к 2030 году и до 81 года к 2036 году, в том числе опережающий рост показателей ожидаемой продолжительности здоровой жизни;1.2.в. Ожидаемая продолжительность здоровой жизни, лет;лет;Основной;59.4;59.8;61.4;62;63.1;64;65;66;67;68;72.2;НП «Продолжительная и активная жизнь»;Голикова Т.А.;да;Social;да;год;https://fedstat.ru/indicator/59233;2024;2018-2024-2025-2030;Витрина ЕМИСС;"Данные не залиты по ссылке  Частота: годовая, месячная   НП ""Продолжительная и активная жизнь"" Данные за 2024 -  https://fedstat.ru/indicator/59233";Методика утверждена первым заместителем Министра здравоохранения Российской Федерации В.С. Фисенко 18.12.2024;Прямой;
1. Сохранение населения, укрепление здоровья и повышение благополучия людей, поддержка семьи;1.2. Увеличение ожидаемой продолжительности жизни до 78 лет к 2030 году и до 81 года к 2036 году, в том числе опережающий рост показателей ожидаемой продолжительности здоровой жизни;Дополнительный: Младенческая смертность, промилле;промилле;Дополнительный;4.6;4.4;4.2;4.5;4.2;4.1;4.1;4;4;3.9;3.7;ФП «Охрана материнства и детства» (НП «Семья»);Минздрав России;да;Social;да;ежемесячно;https://www.fedstat.ru/indicator/61902;2025;2021-2025;Витрина ЕМИСС ;Дополнительный показатель в НЦ ;;Обратный;
1. Сохранение населения, укрепление здоровья и повышение благополучия людей, поддержка семьи;1.2. Увеличение ожидаемой продолжительности жизни до 78 лет к 2030 году и до 81 года к 2036 году, в том числе опережающий рост показателей ожидаемой продолжительности здоровой жизни;Дополнительный: Удовлетворенность населения медицинской помощью по результатам оценки общественного мнения, %;%;Дополнительный;;;;37.3;53;53.6;54.1;54.6;54.9;55.2;60;ФП «Модернизация первичного звена здравоохранения» (НП «Продолжительная и активная жизнь»);Минздрав России;да;Social;да;ежемесячно;https://www.fedstat.ru/indicator/62914;2025;2025;Витрина ЕМИСС ;Дополнительный показатель в НЦ ;;Прямой;
1. Сохранение населения, укрепление здоровья и повышение благополучия людей, поддержка семьи;1.2. Увеличение ожидаемой продолжительности жизни до 78 лет к 2030 году и до 81 года к 2036 году, в том числе опережающий рост показателей ожидаемой продолжительности здоровой жизни;Дополнительный: Число лиц, получивших медицинскую помощь по медицинской реабилитации, %;%;Дополнительный;;;;;4;8.2;12.5;17;21.7;26.5;39.7;ФП «Оптимальная для восстановления здоровья медицинская реабилитация» (НП «Продолжительная и активная жизнь»);Минздрав России;нет;Social;да;ежемесячно;https://www.fedstat.ru/indicator/62955#;2025;2025;Витрина ЕМИСС ;ПОКАЗАТЕЛЬ СТРАННЫЙ.ПОКА НЕ БЕРЕМ В МОДЕЛЬ. Дополнительный показатель в НЦ ;;Прямой;
1. Сохранение населения, укрепление здоровья и повышение благополучия людей, поддержка семьи;1.2. Увеличение ожидаемой продолжительности жизни до 78 лет к 2030 году и до 81 года к 2036 году, в том числе опережающий рост показателей ожидаемой продолжительности здоровой жизни;Дополнительный: Заболеваемость ВИЧ, на 100 тыс. населения, человек;на 100 тыс. населения, человек;Дополнительный;39.8;37.9;37.4;42.4;40.4;38.5;36.7;35;33.3;31.8;30;ГП «Развитие здравоохранения»;Минздрав России;да;Social;да;год;https://www.fedstat.ru/indicator/41718;2024;;Витрина ЕМИСС ;"В нацплане указана формулировка ""Заболеваемость ВИЧ, на 100 тыс. 
населения, человек"" - которой нет в емисс 
";;Обратный;
1. Сохранение населения, укрепление здоровья и повышение благополучия людей, поддержка семьи;1.2. Увеличение ожидаемой продолжительности жизни до 78 лет к 2030 году и до 81 года к 2036 году, в том числе опережающий рост показателей ожидаемой продолжительности здоровой жизни;Дополнительный: Заболеваемость туберкулезом, на 100 тыс. населения, человек;на 100 тыс. населения, человек;Дополнительный;31;31.1;29.6;31;29;28.9;28.7;27.5;26.5;25;22.5;ГП «Развитие здравоохранения»;Минздрав России;нет;Social;;;;;;;;;Обратный;
