Регион,Нацпроект,Назначено,Исполнено,Процент исполнения
Российская Федерация,Всего в рамках национальных проектов,2020071.84,338301.67,16.75
Российская Федерация,"Национальный проект ""Образование""",,,0.0
Российская Федерация,"Национальный проект ""Жилье и городская среда""",635.11,163.06,25.67
Российская Федерация,"Национальный проект ""Экология""",136.94,9.24,6.75
Российская Федерация,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",,,0.0
Российская Федерация,"Национальный проект ""Туризм и индустрия гостеприимства""",,,0.0
Российская Федерация,"Национальный проект ""Производительность труда""",,,0.0
Российская Федерация,"Национальный проект ""Здравоохранение""",,,0.0
Российская Федерация,"Национальный проект ""Демография""",10.72,10.72,100.0
Российская Федерация,"Национальный проект ""Безопасные качественные дороги""",,,0.0
Российская Федерация,"Национальный проект ""Международная кооперация и экспорт""",,,0.0
Российская Федерация,"Национальный проект ""Беспилотные авиационные системы""",6943.69,237.12,3.41
Российская Федерация,"Национальный проект ""Продолжительная и активная жизнь""",273762.95,60403.99,22.06
Российская Федерация,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",7222.63,0,0.0
Российская Федерация,"Национальный проект ""Инфраструктура для жизни""",877608.72,130434.32,14.86
Российская Федерация,"Национальный проект ""Кадры""",7860.08,130.37,1.66
Российская Федерация,"Национальный проект ""Туризм и гостеприимство""",13562.45,217.72,1.61
Российская Федерация,"Национальный проект ""Эффективная транспортная система""",8907.71,624.26,7.01
Российская Федерация,"Национальный проект ""Экономика данных и цифровая трансформация государства""",4117.19,194.96,4.74
Российская Федерация,"Национальный проект ""Экологическое благополучие""",20648.31,2645.23,12.81
Российская Федерация,"Национальный проект ""Эффективная и конкурентная экономика""",8438.05,4177.21,49.5
Российская Федерация,"ациональный проект ""Молодежь и дети""",348281.7,57251.17,16.44
Российская Федерация,"Национальный проект ""Семья""",441935.6,81802.29,18.51
Нет федерального округа,Всего в рамках национальных проектов,11042.72,731.81,6.63
Нет федерального округа,"Национальный проект ""Образование""",,,0.0
Нет федерального округа,"Национальный проект ""Жилье и городская среда""",,,0.0
Нет федерального округа,"Национальный проект ""Экология""",,,0.0
Нет федерального округа,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",,,0.0
Нет федерального округа,"Национальный проект ""Туризм и индустрия гостеприимства""",,,0.0
Нет федерального округа,"Национальный проект ""Производительность труда""",,,0.0
Нет федерального округа,"Национальный проект ""Здравоохранение""",,,0.0
Нет федерального округа,"Национальный проект ""Демография""",,,0.0
Нет федерального округа,"Национальный проект ""Безопасные качественные дороги""",,,0.0
Нет федерального округа,"Национальный проект ""Международная кооперация и экспорт""",,,0.0
Нет федерального округа,"Национальный проект ""Беспилотные авиационные системы""",,,0.0
Нет федерального округа,"Национальный проект ""Продолжительная и активная жизнь""",1390.39,22.35,1.61
Нет федерального округа,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",2.9,0,0.0
Нет федерального округа,"Национальный проект ""Инфраструктура для жизни""",2191.46,60.55,2.76
Нет федерального округа,"Национальный проект ""Кадры""",,,0.0
Нет федерального округа,"Национальный проект ""Туризм и гостеприимство""",227.27,0,0.0
Нет федерального округа,"Национальный проект ""Эффективная транспортная система""",,,0.0
Нет федерального округа,"Национальный проект ""Экономика данных и цифровая трансформация государства""",,,0.0
Нет федерального округа,"Национальный проект ""Экологическое благополучие""",809.09,150.06,18.55
Нет федерального округа,"Национальный проект ""Эффективная и конкурентная экономика""",62.48,0,0.0
Нет федерального округа,"ациональный проект ""Молодежь и дети""",3351.76,440.4,13.14
Нет федерального округа,"Национальный проект ""Семья""",3007.38,58.45,1.94
г. Байконур,Всего в рамках национальных проектов,-,-,0.0
г. Байконур,"Национальный проект ""Образование""",-,-,0.0
г. Байконур,"Национальный проект ""Жилье и городская среда""",-,-,0.0
г. Байконур,"Национальный проект ""Экология""",-,-,0.0
г. Байконур,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
г. Байконур,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
г. Байконур,"Национальный проект ""Производительность труда""",-,-,0.0
г. Байконур,"Национальный проект ""Здравоохранение""",-,-,0.0
г. Байконур,"Национальный проект ""Демография""",-,-,0.0
г. Байконур,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
г. Байконур,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
г. Байконур,"Национальный проект ""Беспилотные авиационные системы""",-,-,0.0
г. Байконур,"Национальный проект ""Продолжительная и активная жизнь""",-,-,0.0
г. Байконур,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",-,-,0.0
г. Байконур,"Национальный проект ""Инфраструктура для жизни""",-,-,0.0
г. Байконур,"Национальный проект ""Кадры""",-,-,0.0
г. Байконур,"Национальный проект ""Туризм и гостеприимство""",-,-,0.0
г. Байконур,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
г. Байконур,"Национальный проект ""Экономика данных и цифровая трансформация государства""",-,-,0.0
г. Байконур,"Национальный проект ""Экологическое благополучие""",-,-,0.0
г. Байконур,"Национальный проект ""Эффективная и конкурентная экономика""",-,-,0.0
г. Байконур,"ациональный проект ""Молодежь и дети""",-,-,0.0
г. Байконур,"Национальный проект ""Семья""",-,-,0.0
Донецкая Народная Республика,Всего в рамках национальных проектов,-,-,0.0
Донецкая Народная Республика,"Национальный проект ""Образование""",-,-,0.0
Донецкая Народная Республика,"Национальный проект ""Жилье и городская среда""",-,-,0.0
Донецкая Народная Республика,"Национальный проект ""Экология""",-,-,0.0
Донецкая Народная Республика,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Донецкая Народная Республика,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Донецкая Народная Республика,"Национальный проект ""Производительность труда""",-,-,0.0
Донецкая Народная Республика,"Национальный проект ""Здравоохранение""",-,-,0.0
Донецкая Народная Республика,"Национальный проект ""Демография""",-,-,0.0
Донецкая Народная Республика,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Донецкая Народная Республика,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Донецкая Народная Республика,"Национальный проект ""Беспилотные авиационные системы""",-,-,0.0
Донецкая Народная Республика,"Национальный проект ""Продолжительная и активная жизнь""",-,-,0.0
Донецкая Народная Республика,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",-,-,0.0
Донецкая Народная Республика,"Национальный проект ""Инфраструктура для жизни""",-,-,0.0
Донецкая Народная Республика,"Национальный проект ""Кадры""",-,-,0.0
Донецкая Народная Республика,"Национальный проект ""Туризм и гостеприимство""",-,-,0.0
Донецкая Народная Республика,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Донецкая Народная Республика,"Национальный проект ""Экономика данных и цифровая трансформация государства""",-,-,0.0
Донецкая Народная Республика,"Национальный проект ""Экологическое благополучие""",-,-,0.0
Донецкая Народная Республика,"Национальный проект ""Эффективная и конкурентная экономика""",-,-,0.0
Донецкая Народная Республика,"ациональный проект ""Молодежь и дети""",-,-,0.0
Донецкая Народная Республика,"Национальный проект ""Семья""",-,-,0.0
Запорожская область,Всего в рамках национальных проектов,3448.03,76.16,2.21
Запорожская область,"Национальный проект ""Образование""",-,-,0.0
Запорожская область,"Национальный проект ""Жилье и городская среда""",-,-,0.0
Запорожская область,"Национальный проект ""Экология""",-,-,0.0
Запорожская область,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Запорожская область,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Запорожская область,"Национальный проект ""Производительность труда""",-,-,0.0
